EUR GD,EUR,GBP GD,GBP,INR GD,INR,USD GD,USD
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,9.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
0.99,,0.99,11.99,0.99,11.99,0.99,0.99
